Academic Year,University,Type of project,New or ongoing research projects,Source of research funding,Unit,Value,Remarks
2009/10,The University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,211,
2009/10,The University of Hong Kong,Research grants,On-going,Non-HK,Number,166,
2009/10,The University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,781,
2009/10,The University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,488,
2009/10,The University of Hong Kong,Research grants,On-going,RGC Direct,Number,490,
2009/10,City University of Hong Kong,Research contracts,New,HKSAR Government,Amount (HK$ million),1,
2009/10,City University of Hong Kong,Research contracts,New,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,City University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),3,
2009/10,City University of Hong Kong,Research contracts,New,Hong Kong Industry,Amount (HK$ million),1,
2009/10,City University of Hong Kong,Research contracts,New,Non-HK,Amount (HK$ million),9,
2009/10,City University of Hong Kong,Research contracts,On-going,HKSAR Government,Amount (HK$ million),18,
2009/10,City University of Hong Kong,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),2,
2009/10,City University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),3,
2009/10,City University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),3,
2009/10,City University of Hong Kong,Research contracts,On-going,Non-HK,Amount (HK$ million),72,
2009/10,City University of Hong Kong,Research grants,New,Block Grant,Amount (HK$ million),68,
2009/10,City University of Hong Kong,Research grants,New,HKSAR Government,Amount (HK$ million),28,
2009/10,City University of Hong Kong,Research grants,New,Hong Kong — other,Amount (HK$ million),9,
2009/10,City University of Hong Kong,Research grants,New,Hong Kong Industry,Amount (HK$ million),2,
2009/10,City University of Hong Kong,Research grants,New,Non-HK,Amount (HK$ million),1,
2009/10,City University of Hong Kong,Research grants,New,Other RGC Grants,Amount (HK$ million),59,
2009/10,City University of Hong Kong,Research grants,New,Other UGC Grants,Amount (HK$ million),7,
2009/10,City University of Hong Kong,Research grants,New,RGC Direct,Amount (HK$ million),9,
2009/10,City University of Hong Kong,Research grants,On-going,Block Grant,Amount (HK$ million),242,
2009/10,City University of Hong Kong,Research grants,On-going,HKSAR Government,Amount (HK$ million),68,
2009/10,City University of Hong Kong,Research grants,On-going,Hong Kong — other,Amount (HK$ million),24,
2009/10,City University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),6,
2009/10,City University of Hong Kong,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),38,
2009/10,City University of Hong Kong,Research grants,On-going,Non-HK,Amount (HK$ million),4,
2009/10,City University of Hong Kong,Research grants,On-going,Other RGC Grants,Amount (HK$ million),252,
2009/10,City University of Hong Kong,Research grants,On-going,Other UGC Grants,Amount (HK$ million),45,
2009/10,City University of Hong Kong,Research grants,On-going,RGC Direct,Amount (HK$ million),29,
2009/10,Hong Kong Baptist University,Research contracts,New,HKSAR Government,Amount (HK$ million),10,
2009/10,Hong Kong Baptist University,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,Hong Kong Baptist University,Research contracts,New,Non-HK,Amount (HK$ million),1,
2009/10,Hong Kong Baptist University,Research contracts,On-going,HKSAR Government,Amount (HK$ million),20,
2009/10,Hong Kong Baptist University,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),14,
2009/10,Hong Kong Baptist University,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),19,
2009/10,Hong Kong Baptist University,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),3,
2009/10,Hong Kong Baptist University,Research contracts,On-going,Non-HK,Amount (HK$ million),8,
2009/10,Hong Kong Baptist University,Research grants,New,Block Grant,Amount (HK$ million),9,
2009/10,Hong Kong Baptist University,Research grants,New,HKSAR Government,Amount (HK$ million),4,
2009/10,Hong Kong Baptist University,Research grants,New,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,Hong Kong Baptist University,Research grants,New,Hong Kong Industry,Amount (HK$ million),1,
2009/10,Hong Kong Baptist University,Research grants,New,Other RGC Grants,Amount (HK$ million),20,
